misztériumok,misztériumokért,1,NOUN|PLUR|CAS<CAU>
húsvágó,húsvágóért,2,NOUN|CAS<CAU>
törlés,törlésért,2,NOUN|CAS<CAU>
ön,önért,15,NOUN|PERS|CAS<CAU>
gyöngykagyló,gyöngykagylóért,1,NOUN|CAS<CAU>
mánké,mánkéért,1,NOUN|POSS<1><PLUR>|ANP|CAS<CAU>
közösségem,közösségemért,8,NOUN|POSS<1>|CAS<CAU>
megpuhítása,megpuhításáért,2,VERB[GERUND]|NOUN|POSS|CAS<CAU>
megsemmisítésé,megsemmisítéséért,72,NOUN|ANP|CAS<CAU>
szalongarnitúra,szalongarnitúráért,1,NOUN|CAS<CAU>
elfojtása,elfojtásáért,4,VERB[GERUND]|NOUN|POSS|CAS<CAU>
remeteségé,remeteségéért,2,NOUN|ANP|CAS<CAU>
kopó,kopóért,6,NOUN|CAS<CAU>
pusztításai,pusztításaiért,4,NOUN|PLUR|POSS|CAS<CAU>
információk,információkért,44,NOUN|PLUR|CAS<CAU>
keresztelőm,keresztelőmért,3,NOUN|POSS<1>|CAS<CAU>
ruhaneműk,ruhaneműkért,1,NOUN|PLUR|CAS<CAU>
kitermelés,kitermelésért,4,NOUN|CAS<CAU>
hártya,hártyáért,3,NOUN|CAS<CAU>
vendégjátéka,vendégjátékáért,1,NOUN|POSS|CAS<CAU>
autonómiájuk,autonómiájukért,4,ADJ|POSS<PLUR>|CAS<CAU>
összhangja,összhangjáért,1,NOUN|POSS|CAS<CAU>
borítás,borításért,2,NOUN|CAS<CAU>
képzés,képzésért,24,NOUN|CAS<CAU>
ficcs,ficcsért,3,NOUN|CAS<CAU>
kedvem,kedvemért,11,NOUN|POSS<1>|CAS<CAU>
jogsegély,jogsegélyért,1,NOUN|CAS<CAU>
bűnbánatom,bűnbánatomért,1,NOUN|POSS<1>|CAS<CAU>
tanulmányom,tanulmányomért,1,NOUN|POSS<1>|CAS<CAU>
látogatása,látogatásáért,14,NOUN|POSS|CAS<CAU>
dorgálás,dorgálásért,2,NOUN|CAS<CAU>
elnéptelenedés,elnéptelenedésért,3,NOUN|CAS<CAU>
önállóság,önállóságért,22,NOUN|CAS<CAU>
rabság,rabságért,8,NOUN|CAS<CAU>
rece,recéért,1,NOUN|CAS<CAU>
átalakítása,átalakításáért,27,NOUN|POSS|CAS<CAU>
apaság,apaságért,1,NOUN|CAS<CAU>
lyuk,lyukért,4,NOUN|CAS<CAU>
hanyagság,hanyagságért,14,NOUN|CAS<CAU>
sérelmeid,sérelmeidért,2,NOUN|PLUR|POSS<2>|CAS<CAU>
írói,íróiért,5,ADJ|CAS<CAU>
valamim,valamimért,1,NOUN|POSS<1>|CAS<CAU>
gyalázatotok,gyalázatotokért,1,NOUN|POSS<2><PLUR>|CAS<CAU>
feltámadásod,feltámadásodért,6,NOUN|POSS<2>|CAS<CAU>
létel,lételért,3,NOUN|CAS<CAU>
rebellió,rebellióért,1,NOUN|CAS<CAU>
ravasz,ravaszért,2,NOUN|CAS<CAU>
istenségé,istenségéért,6,NOUN|ANP|CAS<CAU>
gyerekkor,gyerekkorért,2,NOUN|CAS<CAU>
megválaszthatósága,megválaszthatóságáért,2,VERB[MODAL_PART]|ADJ[ABSTRACT]|NOUN|POSS|CAS<CAU>
meghagyás,meghagyásért,3,NOUN|CAS<CAU>
kronométerem,kronométeremért,1,NOUN|POSS<1>|CAS<CAU>
nőstény,nőstényért,8,NOUN|CAS<CAU>
korrigálás,korrigálásért,2,NOUN|CAS<CAU>
vidéké,vidékéért,9,NOUN[MET_ATTRIB]|ADJ|POSS<2>|PLUR<FAM>|ANP|CAS<CAU>
gyümölcsfák,gyümölcsfákért,2,NOUN|PLUR|CAS<CAU>
bebizonyítása,bebizonyításáért,6,NOUN|POSS|CAS<CAU>
réce,récéért,1,NOUN|CAS<CAU>
bég,bégért,3,NOUN|CAS<CAU>
col,colért,1,NOUN|CAS<CAU>
ijedelmem,ijedelmemért,1,NOUN|POSS<1>|CAS<CAU>
napló,naplóért,2,NOUN|CAS<CAU>
massza,masszáért,1,NOUN|CAS<CAU>
jászság,jászságért,6,ADJ[ABSTRACT]|NOUN|CAS<CAU>
kezelésé,kezeléséért,60,NOUN|ANP|CAS<CAU>
kíméletesség,kíméletességért,2,ADJ[ABSTRACT]|NOUN|CAS<CAU>
gyarlóságunk,gyarlóságunkért,2,NOUN|POSS<1><PLUR>|CAS<CAU>
léptek,léptekért,1,NOUN|CAS<CAU>
hajfürt,hajfürtért,1,NOUN|CAS<CAU>
kilátása,kilátásáért,9,NOUN|POSS|CAS<CAU>
birtokháborítás,birtokháborításért,4,NOUN|CAS<CAU>
életvitelünk,életvitelünkért,1,NOUN|POSS<1><PLUR>|CAS<CAU>
zöldfelületek,zöldfelületekért,1,NOUN|PLUR|CAS<CAU>
értékem,értékemért,1,NOUN|POSS<1>|CAS<CAU>
formahibák,formahibákért,1,NOUN|PLUR|CAS<CAU>
létszám,létszámért,2,NOUN|CAS<CAU>
csikója,csikajáért,1,NOUN|POSS|CAS<CAU>
apagyilkosság,apagyilkosságért,1,NOUN|CAS<CAU>
keresztények,keresztényekért,26,NOUN|PLUR|CAS<CAU>
oki,okiért,9,ADJ|CAS<CAU>
privilégiumok,privilégiumokért,5,NOUN|PLUR|CAS<CAU>
szükség,szükségért,7,NOUN|CAS<CAU>
históriák,históriákért,1,NOUN|PLUR|CAS<CAU>
gépkocsik,gépkocsikért,3,NOUN|PLUR|CAS<CAU>
nikotin,nikotinért,1,NOUN|CAS<CAU>
anyarozs,anyarozsért,1,NOUN|CAS<CAU>
naplementék,naplementékért,1,NOUN|PLUR|CAS<CAU>
háborgatása,háborgatásáért,2,NOUN|POSS|CAS<CAU>
kifizetésé,kifizetéséért,30,NOUN|ANP|CAS<CAU>
népszavazás,népszavazásért,1,NOUN|CAS<CAU>
megtérésé,megtéréséért,102,NOUN|ANP|CAS<CAU>
reszelők,reszelőkért,2,NOUN|PLUR|CAS<CAU>
szonda,szondáért,1,NOUN|CAS<CAU>
lányom,lányomért,9,NOUN|POSS<1>|CAS<CAU>
közelebbik,közelebbiekért,2,NOUN|PLUR|CAS<CAU>
létfenntartásuk,létfenntartásukért,2,NOUN|POSS<PLUR>|CAS<CAU>
világkiállítás,világkiállításért,3,NOUN|CAS<CAU>
pálcája,pálcájáért,1,NOUN|POSS|CAS<CAU>
intésé,intéséért,4,NOUN|ANP|CAS<CAU>
teremtményed,teremtményedért,1,NOUN|POSS<2>|CAS<CAU>
házasságok,házasságokért,6,NOUN|PLUR|CAS<CAU>
szakáll,szakállért,1,NOUN|CAS<CAU>
mindenitek,mindenitekért,2,NOUN[MET_ATTRIB]|ADJ|POSS<2><PLUR>|CAS<CAU>
árpi,árpiért,2,NOUN[MET_ATTRIB]|ADJ|CAS<CAU>
párviadal,párviadalért,2,NOUN|CAS<CAU>
pályázata,pályázatáért,1,NOUN|POSS|CAS<CAU>
közremunkálásuk,közremunkálásukért,2,VERB[GERUND]|NOUN|POSS<PLUR>|CAS<CAU>
tanulmányozása,tanulmányozásáért,9,NOUN|POSS|CAS<CAU>
korsó,korsóért,4,NOUN|CAS<CAU>
beteglátogatás,beteglátogatásért,5,NOUN|CAS<CAU>
asszonyság,asszonyságért,2,NOUN|CAS<CAU>
becsi,becsiért,3,NOUN[MET_ATTRIB]|ADJ|CAS<CAU>
határkiigazítások,határkiigazításokért,1,NOUN|PLUR|CAS<CAU>
megfontoltság,megfontoltságért,10,NOUN|CAS<CAU>
tanúbizonysága,tanúbizonyságáért,2,NOUN|POSS|CAS<CAU>
spanyolfal,spanyolfalért,1,NOUN|CAS<CAU>
elvonulásunk,elvonulásunkért,3,NOUN|POSS<1><PLUR>|CAS<CAU>
intézkedésid,intézkedésidért,2,NOUN[MET_ATTRIB]|ADJ|POSS<2>|CAS<CAU>
előléptetés,előléptetésért,21,NOUN|CAS<CAU>
elválasztás,elválasztásért,3,NOUN|CAS<CAU>
nyilatkoztatás,nyilatkoztatásért,3,NOUN|CAS<CAU>
elüldözésük,elüldözésükért,2,VERB[GERUND]|NOUN|POSS<PLUR>|CAS<CAU>
cudar,cudarért,2,ADJ|CAS<CAU>
pasasok,pasasokért,1,NOUN|PLUR|CAS<CAU>
bizonyítványai,bizonyítványaiért,1,NOUN|PLUR|POSS|CAS<CAU>
elmém,elmémért,1,NOUN|POSS<1>|CAS<CAU>
becsapásai,becsapásaiért,3,NOUN|PLUR|POSS|CAS<CAU>
hangfogó,hangfogóért,2,ADJ|CAS<CAU>
várakozás,várakozásért,16,NOUN|CAS<CAU>
tini,tiniért,4,NOUN|CAS<CAU>
normalazítás,normalazításért,1,NOUN|CAS<CAU>
világbajnokság,világbajnokságért,2,NOUN|CAS<CAU>
kopra,kopráért,3,NOUN|CAS<CAU>
expressz,expresszért,2,NOUN|CAS<CAU>
irodalmiság,irodalmiságért,2,ADJ[ABSTRACT]|NOUN|CAS<CAU>
apácska,apácskáért,2,NOUN|CAS<CAU>
gazdag,gazdagért,10,ADJ|CAS<CAU>
férfikor,férfikorért,1,NOUN|CAS<CAU>
