tartozéka,tartozékául,4,NOUN|POSS|CAS<ESS>
lenyeletlen,lenyeletlenül,6,VERB[NEG_PERF_PART]|ADJ|CAS<ESS>
csillapíthatatlanabb,csillapíthatatlanabbul,8,ADJ[COMPAR]|ADJ|CAS<ESS>
kivétel,kivételül,4,NOUN|CAS<ESS>
vonalak,vonalakul,3,NOUN|PLUR|CAS<ESS>
földolgozhatatlan,földolgozhatatlanul,8,VERB[NEG_MODAL_PART]|ADJ|CAS<ESS>
zavarhatatlan,zavarhatatlanul,2,VERB[NEG_MODAL_PART]|ADJ|CAS<ESS>
végrehajtója,végrehajtójául,24,NOUN|POSS|CAS<ESS>
módszerem,módszeremül,2,NOUN|POSS<1>|CAS<ESS>
séd,sédül,1,NOUN|CAS<ESS>
végzet,végzetül,10,NOUN|CAS<ESS>
bő,bővül,36,ADJ|CAS<ESS>
redőny,redőnyül,2,NOUN|CAS<ESS>
csillapíthatatlan,csillapíthatatlanul,55,ADJ|CAS<ESS>
ügyeletlen,ügyeletlenül,8,VERB[NEG_PERF_PART]|ADJ|CAS<ESS>
tanítód,tanítódul,3,ADJ|POSS<2>|CAS<ESS>
zord,zordul,36,ADJ|CAS<ESS>
tennivalója,tennivalójául,1,NOUN|POSS|CAS<ESS>
segédem,segédemül,3,NOUN|POSS<1>|CAS<ESS>
meghatározója,meghatározójául,4,NOUN|POSS|CAS<ESS>
tehetetlen,tehetetlenül,65,ADJ|CAS<ESS>
oldószere,oldószeréül,2,NOUN|POSS|CAS<ESS>
nyugdíj,nyugdíjul,3,NOUN|CAS<ESS>
felújítása,felújításául,4,NOUN|POSS|CAS<ESS>
zsákmánya,zsákmányául,12,NOUN|POSS|CAS<ESS>
lábjegyzet,lábjegyzetül,1,NOUN|CAS<ESS>
segédeszközök,segédeszközökül,1,NOUN|PLUR|CAS<ESS>
feltétel,feltételül,15,NOUN|CAS<ESS>
puii,puiiül,3,NOUN[MET_ATTRIB]|ADJ|PLUR|POSS|CAS<ESS>
végvár,végvárul,2,NOUN|CAS<ESS>
szüksége,szükségéül,2,NOUN|POSS|CAS<ESS>
keltezés,keltezésül,3,NOUN|CAS<ESS>
megmérhetetlen,megmérhetetlenül,25,VERB[NEG_MODAL_PART]|ADJ|CAS<ESS>
szakképzetlen,szakképzetlenül,33,ADJ|CAS<ESS>
titkom,titkomul,2,NOUN|POSS<1>|CAS<ESS>
segédek,segédekül,5,NOUN|PLUR|CAS<ESS>
elválasztása,elválasztásául,6,NOUN|POSS|CAS<ESS>
özvegyasszony,özvegyasszonyul,2,NOUN|CAS<ESS>
szerencsések,szerencsésekül,6,NOUN|PLUR|CAS<ESS>
tankönyv,tankönyvül,14,NOUN|CAS<ESS>
eredője,eredőjéül,2,NOUN|POSS|CAS<ESS>
sivár,sivárul,9,ADJ|CAS<ESS>
feloldatlan,feloldatlanul,35,VERB[NEG_PERF_PART]|ADJ|CAS<ESS>
kedvezőtlen,kedvezőtlenül,54,ADJ|CAS<ESS>
legkíméletlenebb,legkíméletlenebbül,40,ADJ[SUPERLAT]|ADJ|CAS<ESS>
rabjai,rabjaiul,4,ADJ|PLUR|POSS|CAS<ESS>
tolatlan,tolatlanul,2,VERB[NEG_PERF_PART]|ADJ|CAS<ESS>
hírhedt,hírhedtül,3,ADJ|CAS<ESS>
rakhely,rakhelyül,5,NOUN|CAS<ESS>
elemei,elemeiül,4,NOUN|PLUR|POSS|CAS<ESS>
államhatár,államhatárul,1,NOUN|CAS<ESS>
belföldi,belföldiül,6,ADJ|CAS<ESS>
angolszász,angolszászul,4,NOUN|CAS<ESS>
fontolatlan,fontolatlanul,4,VERB[NEG_PERF_PART]|ADJ|CAS<ESS>
előkészítése,előkészítéséül,56,NOUN|POSS|CAS<ESS>
költészet,költészetül,2,NOUN|CAS<ESS>
meim,meimül,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>|CAS<ESS>
örv,örvül,1,NOUN|CAS<ESS>
feltételei,feltételeiül,2,NOUN|PLUR|POSS|CAS<ESS>
alkalomszerűtlen,alkalomszerűtlenül,3,NOUN[TYPE1]|ADJ[NEG_ATTRIB]|ADJ|CAS<ESS>
tisztítatlan,tisztítatlanul,35,ADJ|CAS<ESS>
antropológia,antropológiául,2,NOUN|CAS<ESS>
alapszava,alapszavául,3,NOUN|POSS|CAS<ESS>
termékei,termékeiül,2,NOUN|PLUR|POSS|CAS<ESS>
kezdőpontja,kezdőpontjául,5,NOUN|POSS|CAS<ESS>
feltételem,feltételemül,1,NOUN|POSS<1>|CAS<ESS>
lesim,lesimul,12,NOUN[MET_ATTRIB]|ADJ|POSS<1>|CAS<ESS>
borítása,borításául,4,NOUN|POSS|CAS<ESS>
gömb,gömbül,2,NOUN|CAS<ESS>
észrevétlenebb,észrevétlenebbül,20,ADJ[COMPAR]|ADJ|CAS<ESS>
fanyar,fanyarul,39,ADJ|CAS<ESS>
virtuóz,virtuózul,12,ADJ|CAS<ESS>
kifejtetlen,kifejtetlenül,63,ADJ|CAS<ESS>
szappan,szappanul,1,NOUN|CAS<ESS>
jogalap,jogalapul,5,NOUN|CAS<ESS>
laktalan,laktalanul,3,NOUN[NEG_ATTRIB]|ADJ|CAS<ESS>
esztendeje,esztendejéül,1,NOUN|POSS|CAS<ESS>
érdemetlen,érdemetlenül,13,NOUN|CAS<ESS>
átmenete,átmenetéül,2,NOUN|POSS|CAS<ESS>
