autószerelő,autószerelőm,2,NOUN|POSS<1>
technikus,technikusom,3,NOUN|POSS<1>
átverések,átveréseim,2,VERB[GERUND]|NOUN|PLUR|POSS<1>
óramutató,óramutatóm,1,NOUN|POSS<1>
betti,bettim,2,NOUN[MET_ATTRIB]|ADJ|POSS<1>
alakulás,alakulásom,4,NOUN|POSS<1>
rabszolga,rabszolgám,12,NOUN|POSS<1>
szőlőkert,szőlőkertem,1,NOUN|POSS<1>
jószívűség,jószívűségem,2,NOUN|POSS<1>
területek,területeim,8,NOUN|PLUR|POSS<1>
megbékélés,megbékélésem,8,NOUN|POSS<1>
csikló,csiklóm,1,NOUN|POSS<1>
kékség,kékségem,4,NOUN|POSS<1>
segéderő,segéderőm,1,NOUN|POSS<1>
redőny,redőnyöm,1,NOUN|POSS<1>
parancsnokhelyettes,parancsnokhelyettesem,1,NOUN|POSS<1>
állcsont,állcsontom,1,NOUN|POSS<1>
készpénz,készpénzem,8,NOUN|POSS<1>
bőrű,bőrűm,2,ADJ|POSS<1>
bogárszemű,bogárszeműm,1,ADJ|POSS<1>
kormányforma,kormányformám,1,NOUN|POSS<1>
arányérzék,arányérzékem,1,NOUN|POSS<1>
kaktusz,kaktuszom,3,NOUN|POSS<1>
vagyontárgyak,vagyontárgyaim,3,NOUN|PLUR|POSS<1>
korcsoport,korcsoportom,1,NOUN|POSS<1>
rúnák,rúnáim,2,NOUN|PLUR|POSS<1>
ismeretesség,ismeretességem,2,ADJ[ABSTRACT]|NOUN|POSS<1>
technikum,technikumom,1,NOUN|POSS<1>
felvezetés,felvezetésem,4,VERB[GERUND]|NOUN|POSS<1>
szülőfalu,szülőfalum,12,NOUN|POSS<1>
malária,maláriám,2,NOUN|POSS<1>
nyugdíj,nyugdíjam,15,NOUN|POSS<1>
sémi,sémim,1,ADJ|POSS<1>
feljövetel,feljövetelem,2,NOUN|POSS<1>
fantom,fantomom,1,NOUN|POSS<1>
útitervek,útiterveim,2,NOUN|PLUR|POSS<1>
hajdú,hajdúm,29,NOUN|POSS<1>
utópia,utópiám,6,NOUN|POSS<1>
érintési,érintésim,2,NOUN[MET_ATTRIB]|ADJ|POSS<1>
érintés,érintésem,20,NOUN|POSS<1>
programozás,programozásom,9,NOUN|POSS<1>
tehenészet,tehenészetem,1,NOUN|POSS<1>
motorkerékpár,motorkerékpárom,1,NOUN|POSS<1>
udvarló,udvarlóm,26,NOUN|POSS<1>
bűnbakok,bűnbakjaim,1,NOUN|PLUR|POSS<1>
ó,óm,16,ADJ|POSS<1>
enyelgő,enyelgőm,2,ADJ|POSS<1>
ováció,ovációm,1,NOUN|POSS<1>
végzet,végzetem,22,NOUN|POSS<1>
tankönyv,tankönyvem,9,NOUN|POSS<1>
csikk,csikkem,1,NOUN|POSS<1>
csavargás,csavargásom,6,NOUN|POSS<1>
látogatott,látogatottam,2,ADJ|POSS<1>
kígyózás,kígyózásom,2,VERB[GERUND]|NOUN|POSS<1>
kérvények,kérvényeim,2,NOUN|PLUR|POSS<1>
tagtárs,tagtársam,7,NOUN|POSS<1>
hajak,hajaim,3,NOUN|PLUR|POSS<1>
hozzátartozók,hozzátartozóim,44,NOUN|PLUR|POSS<1>
költészet,költészetem,19,NOUN|POSS<1>
rezonancia,rezonanciám,1,NOUN|POSS<1>
szivarzseb,szivarzsebem,1,NOUN|POSS<1>
hírhedt,hírhedtem,1,ADJ|POSS<1>
igyekezés,igyekezésem,1,VERB[GERUND]|NOUN|POSS<1>
elzárkózás,elzárkózásom,3,NOUN|POSS<1>
lények,lényeim,5,NOUN|PLUR|POSS<1>
szimbiózis,szimbiózisom,2,NOUN|POSS<1>
hűtőszekrény,hűtőszekrényem,3,NOUN|POSS<1>
keltezés,keltezésem,3,NOUN|POSS<1>
írnokok,írnokaim,5,NOUN|PLUR|POSS<1>
feltétel,feltételem,39,NOUN|POSS<1>
dédnagyapa,dédnagyapám,12,NOUN|POSS<1>
jövendőmondók,jövendőmondóim,3,ADJ|PLUR|POSS<1>
csigák,csigáim,2,NOUN|PLUR|POSS<1>
dialógus,dialógusom,4,NOUN|POSS<1>
búcsúpillantás,búcsúpillantásom,2,NOUN|POSS<1>
sütőkemence,sütőkemencém,1,NOUN|POSS<1>
toldi,toldim,6,NOUN[MET_ATTRIB]|ADJ|POSS<1>
mehetnék,mehetnékem,10,NOUN|POSS<1>
életfák,életfáim,2,NOUN|PLUR|POSS<1>
unott,unottam,1,ADJ|POSS<1>
csuklók,csuklóim,12,NOUN|PLUR|POSS<1>
betli,betlim,1,NOUN|POSS<1>
mányai,mányaim,5,NOUN[MET_ATTRIB]|ADJ|POSS<1>
bacsi,bacsim,2,NOUN[MET_ATTRIB]|ADJ|POSS<1>
kovácsműhely,kovácsműhelyem,1,NOUN|POSS<1>
beszédhelyzet,beszédhelyzetem,1,NOUN|POSS<1>
titkos,titkosom,4,ADJ|POSS<1>
bolondéria,bolondériám,4,NOUN|POSS<1>
halászka,halászkám,2,NOUN|POSS<1>
öregszülék,öregszüléim,1,NOUN|PLUR|POSS<1>
liberalizmus,liberalizmusom,1,NOUN|POSS<1>
kontrák,kontráim,2,NOUN|PLUR|POSS<1>
mosogatórongy,mosogatórongyom,1,NOUN|POSS<1>
arcképcsarnok,arcképcsarnokom,3,NOUN|POSS<1>
udvarok,udvaraim,2,NOUN|PLUR|POSS<1>
meies,meisem,1,NOUN[MET_ATTRIB]|ADJ[ATTRIB]|ADJ|POSS<1>
magánvádló,magánvádlóm,1,NOUN|POSS<1>
szártagú,szártagúm,1,NOUN[INAL_ATTRIB]|ADJ|POSS<1>
vendégek,vendégjeim,2,ADJ|PLUR|POSS<1>
jelentés,jelentésem,34,NOUN|POSS<1>
megbecsültség,megbecsültségem,3,ADJ[ABSTRACT]|NOUN|POSS<1>
katonaruha,katonaruhám,3,NOUN|POSS<1>
vándortarisznya,vándortarisznyám,2,NOUN|POSS<1>
bankóprés,bankóprésem,1,NOUN|POSS<1>
séta,sétám,10,NOUN|POSS<1>
felosztás,felosztásom,9,NOUN|POSS<1>
vazallusok,vazallusaim,1,NOUN|PLUR|POSS<1>
hajtű,hajtűm,2,NOUN|POSS<1>
opportunizmus,opportunizmusom,1,NOUN|POSS<1>
mintakép,mintaképem,6,NOUN|POSS<1>
zrínyi,zrínyim,6,NOUN|POSS<1>
tamás,tamásom,28,NOUN|POSS<1>
csúfnév,csúfnevem,6,NOUN|POSS<1>
pezsgő,pezsgőm,18,ADJ|POSS<1>
hivatalszolga,hivatalszolgám,2,NOUN|POSS<1>
muzsikási,muzsikásim,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>
muzsikás,muzsikásom,8,NOUN|POSS<1>
nagyralátás,nagyralátásom,1,NOUN|POSS<1>
ritkítás,ritkításom,3,VERB[GERUND]|NOUN|POSS<1>
álmoskönyv,álmoskönyvem,10,NOUN|POSS<1>
szatyor,szatyrom,6,NOUN|POSS<1>
sütemény,süteményem,5,NOUN|POSS<1>
édestestvér,édestestvérem,7,NOUN|POSS<1>
előjogok,előjogaim,2,NOUN|PLUR|POSS<1>
napló,naplóm,25,NOUN|POSS<1>
erőtér,erőterem,6,NOUN|POSS<1>
bizodalom,bizodalmam,12,NOUN|POSS<1>
pártvezetőség,pártvezetőségem,1,NOUN|POSS<1>
bogarász,bogarászom,4,NOUN|POSS<1>
hajtó,hajtóm,46,NOUN|POSS<1>
titkos,titkosam,2,ADJ|POSS<1>
magánvizsgák,magánvizsgáim,1,NOUN|PLUR|POSS<1>
rostély,rostélyom,1,NOUN|POSS<1>
anyakirályné,anyakirályném,1,NOUN|POSS<1>
sütés,sütésem,2,NOUN|POSS<1>
műfogsor,műfogsorom,1,NOUN|POSS<1>
kimaradások,kimaradásaim,3,NOUN|PLUR|POSS<1>
kötőtű,kötőtűm,1,NOUN|POSS<1>
revolverek,revolvereim,2,NOUN|PLUR|POSS<1>
létrehozók,létrehozóim,2,VERB[IMPERF_PART]|ADJ|PLUR|POSS<1>
következőek,következőim,4,ADJ|PLUR|POSS<1>
gömb,gömböm,3,NOUN|POSS<1>
expresszvonat,expresszvonatom,1,NOUN|POSS<1>
virtuóz,virtuózom,2,ADJ|POSS<1>
gyengülés,gyengülésem,4,NOUN|POSS<1>
hajrá,hajrám,2,NOUN|POSS<1>
jogalap,jogalapom,1,NOUN|POSS<1>
szappan,szappanom,8,NOUN|POSS<1>
nyakravaló,nyakravalóm,5,NOUN|POSS<1>
beszélyek,beszélyeim,1,NOUN|PLUR|POSS<1>
összegezés,összegezésem,2,NOUN|POSS<1>
kaszinó,kaszinóm,1,NOUN|POSS<1>
interjúalany,interjúalanyom,13,NOUN|POSS<1>
badai,badaim,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>
beutaló,beutalóm,20,ADJ|POSS<1>
nagyszülők,nagyszülőim,8,NOUN|PLUR|POSS<1>
lebőgés,lebőgésem,3,NOUN|POSS<1>
ármádia,ármádiám,2,NOUN|POSS<1>
maximális,maximálisam,1,ADJ|POSS<1>
deuteron,deuteronom,2,NOUN|POSS<1>
teóriák,teóriáim,4,NOUN|PLUR|POSS<1>
szamárságok,szamárságaim,2,NOUN|PLUR|POSS<1>
becsülés,becsülésem,14,NOUN|POSS<1>
elkárhozás,elkárhozásom,3,NOUN|POSS<1>
vonzódások,vonzódásaim,6,NOUN|PLUR|POSS<1>
papolás,papolásom,3,NOUN|POSS<1>
középfok,középfokom,1,NOUN|POSS<1>
oldalas,oldalasom,6,NOUN|POSS<1>
felügyelő,felügyelőm,30,NOUN|POSS<1>
hajló,hajlóm,4,ADJ|POSS<1>
folklór,folklórom,1,NOUN|POSS<1>
ragaszok,ragaszaim,1,NOUN|PLUR|POSS<1>
kukker,kukkerem,1,NOUN|POSS<1>
öröm,örömöm,16,NOUN|POSS<1>
dacosság,dacosságom,4,NOUN|POSS<1>
bőrdívány,bőrdíványom,1,NOUN|POSS<1>
erkölcscsősz,erkölcscsőszöm,1,NOUN|POSS<1>
beszólás,beszólásom,4,VERB[GERUND]|NOUN|POSS<1>
többtermelés,többtermelésem,1,NOUN|POSS<1>
funkcionálás,funkcionálásom,1,VERB[GERUND]|NOUN|POSS<1>
csókok,csókjaim,11,NOUN|PLUR|POSS<1>
felsők,felsőim,3,NOUN|PLUR|POSS<1>
eredmény,eredményem,10,NOUN|POSS<1>
személyesség,személyességem,2,ADJ[ABSTRACT]|NOUN|POSS<1>
érhálózat,érhálózatom,1,NOUN|POSS<1>
megértés,megértésem,27,NOUN|POSS<1>
megye,megyém,11,NOUN|POSS<1>
örök,örököm,12,ADJ|POSS<1>
osztálytársnők,osztálytársnőim,10,NOUN|PLUR|POSS<1>
ugar,ugarom,1,NOUN|POSS<1>
lábfájás,lábfájásom,2,NOUN|POSS<1>
szívgörcs,szívgörcsöm,3,NOUN|POSS<1>
keresztség,keresztségem,3,NOUN|POSS<1>
belátások,belátásaim,6,NOUN|PLUR|POSS<1>
motorhiba,motorhibám,1,NOUN|POSS<1>
polémiák,polémiáim,1,NOUN|PLUR|POSS<1>
tudatalatti,tudatalattim,32,NOUN|POSS<1>
szillogizmus,szillogizmusom,2,NOUN|POSS<1>
baromfiudvar,baromfiudvarom,1,NOUN|POSS<1>
birtok,birtokom,12,NOUN|POSS<1>
jelzés,jelzésem,8,NOUN|POSS<1>
asztrológus,asztrológusom,3,NOUN|POSS<1>
agybaj,agybajom,1,NOUN|POSS<1>
körút,körutam,13,NOUN|POSS<1>
álöltözet,álöltözetem,5,NOUN|POSS<1>
besti,bestim,6,NOUN[MET_ATTRIB]|ADJ|POSS<1>
csille,csillém,1,NOUN|POSS<1>
sensi,sensim,19,NOUN[MET_ATTRIB]|ADJ|POSS<1>
nyárs,nyársam,1,NOUN|POSS<1>
csilla,csillám,26,NOUN|POSS<1>
különösök,különöseim,3,NOUN|PLUR|POSS<1>
tisztiszolga,tisztiszolgám,8,NOUN|POSS<1>
eiiek,eiiim,7,NOUN[MET_ATTRIB]|ADJ|PLUR|POSS<1>
kanis,kanisam,10,NOUN[MET_ATTRIB]|ADJ[ATTRIB]|ADJ|POSS<1>
menedékhely,menedékhelyem,6,NOUN|POSS<1>
szépérzék,szépérzékem,8,NOUN|POSS<1>
kötődő,kötődőm,2,VERB[IMPERF_PART]|ADJ|POSS<1>
grószi,grószim,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>
borító,borítóm,2,NOUN|POSS<1>
őrangyal,őrangyalom,9,NOUN|POSS<1>
mandari,mandarim,7,NOUN[MET_ATTRIB]|ADJ|POSS<1>
nyelvészet,nyelvészetem,2,NOUN|POSS<1>
szakértők,szakértőim,4,NOUN|PLUR|POSS<1>
sólyom,sólymom,8,NOUN|POSS<1>
hólyaghurut,hólyaghurutom,3,NOUN|POSS<1>
sajtók,sajtóim,6,NOUN|PLUR|POSS<1>
ítélés,ítélésem,6,VERB[GERUND]|NOUN|POSS<1>
adys,adysom,1,ADJ|POSS<1>
odahívás,odahívásom,2,VERB[GERUND]|NOUN|POSS<1>
túrázás,túrázásom,2,VERB[GERUND]|NOUN|POSS<1>
bárányfelhők,bárányfelhőim,2,NOUN|PLUR|POSS<1>
racionalizmus,racionalizmusom,1,NOUN|POSS<1>
összköltség,összköltségem,1,NOUN|POSS<1>
eini,einim,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>
süketség,süketségem,6,NOUN|POSS<1>
szobalányok,szobalányaim,5,NOUN|PLUR|POSS<1>
gályák,gályáim,1,NOUN|PLUR|POSS<1>
örömi,örömim,11,NOUN[MET_ATTRIB]|ADJ|POSS<1>
öröm,örömem,14,NOUN|POSS<1>
szállítmány,szállítmányom,3,NOUN|POSS<1>
fényszórók,fényszóróim,6,NOUN|PLUR|POSS<1>
kútásók,kútásóim,3,NOUN|PLUR|POSS<1>
megalázkodás,megalázkodásom,9,NOUN|POSS<1>
lagani,laganim,2,NOUN[MET_ATTRIB]|ADJ|POSS<1>
cseresznyevirág,cseresznyevirágom,1,NOUN|POSS<1>
elkötelezettségek,elkötelezettségeim,15,NOUN|PLUR|POSS<1>
eiias,eisem,1,NOUN[MET_ATTRIB]|ADJ[ATTRIB]|ADJ|POSS<1>
üzlethelyiség,üzlethelyiségem,2,NOUN|POSS<1>
kérdések,kérdéseim,26,NOUN|PLUR|POSS<1>
nyelvészek,nyelvészeim,3,NOUN|PLUR|POSS<1>
labor,laborom,2,NOUN|POSS<1>
lefoglaltság,lefoglaltságom,6,ADJ[ABSTRACT]|NOUN|POSS<1>
álláspontok,álláspontjaim,2,NOUN|PLUR|POSS<1>
otthonosság,otthonosságom,4,NOUN|POSS<1>
fellobbanás,fellobbanásom,6,NOUN|POSS<1>
napilap,napilapom,3,NOUN|POSS<1>
copf,copfom,3,NOUN|POSS<1>
világtenger,világtengerem,2,NOUN|POSS<1>
csákányok,csákányaim,1,NOUN|PLUR|POSS<1>
köszönő,köszönőm,8,ADJ|POSS<1>
öntés,öntésem,2,NOUN|POSS<1>
izom,izmom,9,NOUN|POSS<1>
pozíció,pozícióm,9,NOUN|POSS<1>
március,márciusom,2,NOUN|POSS<1>
kivégzés,kivégzésem,24,NOUN|POSS<1>
várási,várásim,2,NOUN[MET_ATTRIB]|ADJ|POSS<1>
anatómus,anatómusom,1,NOUN|POSS<1>
intenciók,intencióim,6,NOUN|PLUR|POSS<1>
vázlatkönyv,vázlatkönyvem,1,NOUN|POSS<1>
sebész,sebészem,2,NOUN|POSS<1>
óvodáskor,óvodáskorom,3,NOUN|POSS<1>
kisszerűség,kisszerűségem,1,ADJ[ABSTRACT]|NOUN|POSS<1>
egyenesek,egyeneseim,2,ADJ|PLUR|POSS<1>
kapzsiság,kapzsiságom,8,NOUN|POSS<1>
búvóhely,búvóhelyem,9,NOUN|POSS<1>
mosoly,mosolyom,10,NOUN|POSS<1>
napáldozat,napáldozatom,1,NOUN|POSS<1>
kibúvó,kibúvóm,6,NOUN|POSS<1>
muter,muterom,6,NOUN|POSS<1>
ritmusérzék,ritmusérzékem,4,NOUN|POSS<1>
komoly,komolyam,2,ADJ|POSS<1>
életforma,életformám,7,NOUN|POSS<1>
gerjedezés,gerjedezésem,1,VERB[GERUND]|NOUN|POSS<1>
tevékenységek,tevékenységeim,12,NOUN|PLUR|POSS<1>
tékozló,tékozlóm,3,ADJ|POSS<1>
naivság,naivságom,12,NOUN|POSS<1>
pezsgőfürdő,pezsgőfürdőm,1,NOUN|POSS<1>
forradalmiság,forradalmiságom,6,NOUN|POSS<1>
muter,muterem,1,NOUN|POSS<1>
elmék,elméim,2,NOUN|PLUR|POSS<1>
tészták,tésztáim,1,NOUN|PLUR|POSS<1>
szkenner,szkennerem,2,NOUN|POSS<1>
várás,várásom,12,NOUN|POSS<1>
