monarchiák,monarchiáknál,1,NOUN|PLUR|CAS<ADE>
ékszerboltja,ékszerboltjánál,1,NOUN|POSS|CAS<ADE>
fizikuma,fizikumánál,2,NOUN|POSS|CAS<ADE>
futballcsapata,futballcsapatánál,1,NOUN|POSS|CAS<ADE>
udvar,udvarnál,14,NOUN|CAS<ADE>
mellőzöttek,mellőzötteknél,2,ADJ|PLUR|CAS<ADE>
kiejtésük,kiejtésüknél,3,NOUN|POSS<PLUR>|CAS<ADE>
próbababa,próbababánál,1,NOUN|CAS<ADE>
tűje,tűjénél,1,NOUN|POSS|CAS<ADE>
zeneszerzője,zeneszerzőjénél,3,NOUN|POSS|CAS<ADE>
filológusai,filológusainál,1,NOUN|PLUR|POSS|CAS<ADE>
szikra,szikránál,4,NOUN|CAS<ADE>
tűzvész,tűzvésznél,4,NOUN|CAS<ADE>
köztársaságé,köztársaságénál,1,NOUN|ANP|CAS<ADE>
nippjei,nippjeinél,1,NOUN|PLUR|POSS|CAS<ADE>
főfogás,főfogásnál,1,NOUN|CAS<ADE>
gyógyír,gyógyírnál,2,NOUN|CAS<ADE>
próba,próbánál,9,NOUN|CAS<ADE>
lengések,lengéseknél,3,NOUN|PLUR|CAS<ADE>
úttörővasút,úttörővasútnál,1,NOUN|CAS<ADE>
tervezések,tervezéseknél,3,NOUN|PLUR|CAS<ADE>
tótfalusi,tótfalusinál,22,ADJ|CAS<ADE>
ellentétpár,ellentétpárnál,1,NOUN|CAS<ADE>
hátik,hátiknál,8,ADJ|PLUR|CAS<ADE>
főzet,főzetnél,3,NOUN|CAS<ADE>
gyűjtője,gyűjtőjénél,2,NOUN|POSS|CAS<ADE>
halatok,halatoknál,1,NOUN|POSS<2><PLUR>|CAS<ADE>
hullámhegyek,hullámhegyeknél,1,NOUN|PLUR|CAS<ADE>
főagronómus,főagronómusnál,1,NOUN|CAS<ADE>
szabadságvesztés,szabadságvesztésnél,12,NOUN|CAS<ADE>
szökőkút,szökőkútnál,15,NOUN|CAS<ADE>
sarjai,sarjainál,4,ADJ|PLUR|POSS|CAS<ADE>
keresetűek,keresetűeknél,5,NOUN[INAL_ATTRIB]|ADJ|PLUR|CAS<ADE>
hólepel,hólepelnél,1,NOUN|CAS<ADE>
nevekedése,nevekedésénél,2,VERB[GERUND]|NOUN|POSS|CAS<ADE>
szocializmus,szocializmusnál,7,NOUN|CAS<ADE>
szervezettsége,szervezettségénél,18,ADJ[ABSTRACT]|NOUN|POSS|CAS<ADE>
nézetük,nézetüknél,1,NOUN|POSS<PLUR>|CAS<ADE>
tüzi,tüzinél,2,NOUN[MET_ATTRIB]|ADJ|CAS<ADE>
mesemondók,mesemondóknál,8,NOUN|PLUR|CAS<ADE>
negyedrész,negyedrésznél,2,NOUN|CAS<ADE>
szerencsék,szerencséknél,1,NOUN|PLUR|CAS<ADE>
megfontolások,megfontolásoknál,8,NOUN|PLUR|CAS<ADE>
emberkínzás,emberkínzásnál,1,NOUN|CAS<ADE>
gerézdi,gerézdinél,2,NOUN[MET_ATTRIB]|ADJ|CAS<ADE>
megnyúlása,megnyúlásánál,8,NOUN|POSS|CAS<ADE>
havibaj,havibajnál,14,NOUN|CAS<ADE>
pénzintézete,pénzintézeténél,2,NOUN|POSS|CAS<ADE>
néne,nénénél,15,NOUN|CAS<ADE>
életszínvonal,életszínvonalnál,3,NOUN|CAS<ADE>
lakóháza,lakóházánál,8,NOUN|POSS|CAS<ADE>
tanácsé,tanácsénál,1,NOUN|ANP|CAS<ADE>
említetteké,említettekénél,4,ADJ|PLUR|ANP|CAS<ADE>
adóbevallás,adóbevallásnál,3,NOUN|CAS<ADE>
ruhafogas,ruhafogasnál,1,NOUN|CAS<ADE>
hidalgó,hidalgónál,1,NOUN|CAS<ADE>
főnix,főnixnél,2,NOUN|CAS<ADE>
szekértábor,szekértábornál,1,NOUN|CAS<ADE>
kereskedők,kereskedőknél,22,NOUN|PLUR|CAS<ADE>
detektálás,detektálásnál,1,VERB[GERUND]|NOUN|CAS<ADE>
termini,termininél,1,NOUN[MET_ATTRIB]|ADJ|CAS<ADE>
