vaskapocs,vaskapocsból,2,NOUN|CAS<ELA>
gyönyörei,gyönyöreiből,5,NOUN|PLUR|POSS|CAS<ELA>
növendékeink,növendékeinkből,1,NOUN|PLUR|POSS<1><PLUR>|CAS<ELA>
zúgás,zúgásból,14,NOUN|CAS<ELA>
esthajnalcsillag,esthajnalcsillagból,1,NOUN|CAS<ELA>
igazgatóságai,igazgatóságaiból,4,NOUN|PLUR|POSS|CAS<ELA>
diszkriminációk,diszkriminációkból,1,NOUN|PLUR|CAS<ELA>
szamárság,szamárságból,6,NOUN|CAS<ELA>
karikák,karikákból,32,NOUN|PLUR|CAS<ELA>
ágyatok,ágyatokból,3,NOUN|POSS<2><PLUR>|CAS<ELA>
mászás,mászásból,2,NOUN|CAS<ELA>
vesétek,vesétekből,2,NOUN|POSS<2><PLUR>|CAS<ELA>
rónaságok,rónaságokból,2,NOUN|PLUR|CAS<ELA>
sűrűsödések,sűrűsödésekből,8,VERB[GERUND]|NOUN|PLUR|CAS<ELA>
jogalanyai,jogalanyaiból,1,NOUN|PLUR|POSS|CAS<ELA>
bájos,bájosból,1,ADJ|CAS<ELA>
sorozat,sorozatból,20,NOUN|CAS<ELA>
megismerhetősége,megismerhetőségéből,4,VERB[MODAL_PART]|ADJ[ABSTRACT]|NOUN|POSS|CAS<ELA>
megvásárlása,megvásárlásából,4,VERB[GERUND]|NOUN|POSS|CAS<ELA>
munkaköröm,munkakörömből,4,NOUN|POSS<1>|CAS<ELA>
ebédelés,ebédelésből,4,VERB[GERUND]|NOUN|CAS<ELA>
bűvköre,bűvköréből,20,NOUN|POSS|CAS<ELA>
aktívak,aktívakból,1,ADJ|PLUR|CAS<ELA>
embertelen,embertelenből,2,ADJ|CAS<ELA>
németek,németekből,20,ADJ|PLUR|CAS<ELA>
gyíktojás,gyíktojásból,1,NOUN|CAS<ELA>
alapérzése,alapérzéséből,4,NOUN|POSS|CAS<ELA>
vásárja,vásárából,4,NOUN|POSS|CAS<ELA>
henyesége,henyeségéből,2,ADJ[ABSTRACT]|NOUN|POSS|CAS<ELA>
vincellér,vincellérből,1,NOUN|CAS<ELA>
tiszteletdíja,tiszteletdíjából,7,NOUN|POSS|CAS<ELA>
feltételei,feltételeiből,10,NOUN|PLUR|POSS|CAS<ELA>
inkubátorok,inkubátorokból,2,NOUN|PLUR|CAS<ELA>
redakció,redakcióból,8,NOUN|CAS<ELA>
odaik,odvaikból,6,NOUN|PLUR|POSS<PLUR>|CAS<ELA>
turkálók,turkálókból,2,VERB[IMPERF_PART]|ADJ|PLUR|CAS<ELA>
életműm,életművemből,1,NOUN|POSS<1>|CAS<ELA>
habom,habomból,1,NOUN|POSS<1>|CAS<ELA>
igénylők,igénylőkből,6,NOUN|PLUR|CAS<ELA>
perce,percéből,14,NOUN|POSS|CAS<ELA>
kisbéres,kisbéresből,1,NOUN|CAS<ELA>
gyermekifjú,gyermekifjúból,1,NOUN|CAS<ELA>
szeretése,szeretéséből,2,VERB[GERUND]|NOUN|POSS|CAS<ELA>
nagyhatalma,nagyhatalmából,1,NOUN|POSS|CAS<ELA>
akadémikusok,akadémikusokból,8,ADJ|PLUR|CAS<ELA>
elefántcsontja,elefántcsontjából,1,NOUN|POSS|CAS<ELA>
leghorn,leghornból,1,NOUN|CAS<ELA>
csapásai,csapásaiból,24,NOUN|PLUR|POSS|CAS<ELA>
következőek,következőkből,36,ADJ|PLUR|CAS<ELA>
ajánlkozó,ajánlkozóból,1,VERB[IMPERF_PART]|ADJ|CAS<ELA>
megtisztelések,megtisztelésekből,4,NOUN|PLUR|CAS<ELA>
pattantyús,pattantyúsból,2,NOUN|CAS<ELA>
agyagrétegek,agyagrétegekből,5,NOUN|PLUR|CAS<ELA>
céhrendszer,céhrendszerből,2,NOUN|CAS<ELA>
külföldiek,külföldiekből,20,NOUN|PLUR|CAS<ELA>
tudósa,tudósából,8,ADJ|POSS|CAS<ELA>
hajtűje,hajtűjéből,1,NOUN|POSS|CAS<ELA>
anód,anódból,1,NOUN|CAS<ELA>
hozománya,hozományából,9,NOUN|POSS|CAS<ELA>
hálónk,hálónkból,9,ADJ|POSS<1><PLUR>|CAS<ELA>
hullámterek,hullámterekből,1,NOUN|PLUR|CAS<ELA>
különbözés,különbözésből,6,NOUN|CAS<ELA>
