cukkol,cukkollak,2,VERB|PERS<1<OBJ<2>>>
elindítana,elindítanálak,3,VERB|COND|PERS<1<OBJ<2>>>
felkísér,felkísérlek,9,VERB|PERS<1<OBJ<2>>>
bököd,böködlek,1,VERB|PERS<1<OBJ<2>>>
kinevetett,kinevettelek,6,VERB|PAST|PERS<1<OBJ<2>>>
oldozhat,oldozhatlak,1,VERB|MODAL|PERS<1<OBJ<2>>>
lekapar,lekaparlak,2,VERB|PERS<1<OBJ<2>>>
felvidítson,felvidítsalak,6,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
kimerített,kimerítettelek,2,VERB|PAST|PERS<1<OBJ<2>>>
meglát,meglátlak,20,VERB|PERS<1<OBJ<2>>>
főzet,főzetlek,2,VERB|PERS<1<OBJ<2>>>
árult,árultalak,8,VERB|PAST|PERS<1<OBJ<2>>>
betemet,betemetlek,4,VERB|PERS<1<OBJ<2>>>
használhatna,használhatnálak,2,VERB|MODAL|COND|PERS<1<OBJ<2>>>
kielégített,kielégítettelek,4,VERB|PAST|PERS<1<OBJ<2>>>
megsebezzen,megsebezzelek,3,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
szegezzen,szegezzelek,2,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
megnyerhetne,megnyerhetnélek,2,VERB|MODAL|COND|PERS<1<OBJ<2>>>
kiküld,kiküldelek,4,VERB|PERS<1<OBJ<2>>>
benyom,benyomlak,6,VERB|PERS<1<OBJ<2>>>
megingasson,megingassalak,6,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
marhat,marhatlak,1,VERB|MODAL|PERS<1<OBJ<2>>>
megkívánna,megkívánnálak,4,VERB|COND|PERS<1<OBJ<2>>>
gyűjtene,gyűjtenélek,1,VERB|COND|PERS<1<OBJ<2>>>
megráz,megrázlak,28,VERB|PERS<1<OBJ<2>>>
imád,imádlak,13,VERB|PERS<1<OBJ<2>>>
rajzolt,rajzoltalak,26,VERB|PAST|PERS<1<OBJ<2>>>
meggyőz,meggyőzlek,12,VERB|PERS<1<OBJ<2>>>
visszaereszt,visszaeresztelek,2,VERB|PERS<1<OBJ<2>>>
megijesszen,megijesszelek,8,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
letépett,letéptelek,2,VERB|PAST|PERS<1<OBJ<2>>>
előkészített,előkészítettelek,3,VERB|PAST|PERS<1<OBJ<2>>>
fogadtat,fogadtatlak,6,VERB|PERS<1<OBJ<2>>>
védjen,védjelek,6,VERB|SUBJUNC-IMP|PERS<1<OBJ<2>>>
behálózott,behálóztalak,3,VERB|PAST|PERS<1<OBJ<2>>>
eligazít,eligazítalak,9,VERB|PERS<1<OBJ<2>>>
megkárosított,megkárosítottalak,3,VERB|PAST|PERS<1<OBJ<2>>>
levét,levételek,3,VERB|PERS<1<OBJ<2>>>
halászik,halászlak,12,VERB|PERS<1<OBJ<2>>>
ösztökél,ösztökéllek,4,VERB|PERS<1<OBJ<2>>>
megtart,megtartalak,22,VERB|PERS<1<OBJ<2>>>
futtat,futtatlak,1,VERB|PERS<1<OBJ<2>>>
megszakított,megszakítottalak,2,VERB|PAST|PERS<1<OBJ<2>>>
szólongat,szólongatlak,10,VERB|PERS<1<OBJ<2>>>
