kaktusz,kaktuszék,1,NOUN|PLUR<FAM>
néném,nénémék,7,NOUN|POSS<1>|PLUR<FAM>
csoóri,csoóriék,10,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
csiki,csikiék,6,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
fogadós,fogadósék,12,NOUN|PLUR<FAM>
krisi,krisiék,1,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
feltétel,feltételék,1,NOUN|PLUR<FAM>
bakos,bakosék,4,NOUN[ATTRIB]|ADJ|PLUR<FAM>
artista,artistáék,3,NOUN|PLUR<FAM>
okolicsányi,okolicsányiék,3,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
bognár,bognárék,8,NOUN|PLUR<FAM>
badi,badiék,2,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
gömb,gömbék,1,NOUN|PLUR<FAM>
gúnyolód,gúnyolódék,18,VERB[IMPERF_PART]|ADJ|POSS<2>|PLUR<FAM>
nénéd,nénédék,3,NOUN|POSS<2>|PLUR<FAM>
nagyapám,nagyapámék,10,NOUN|POSS<1>|PLUR<FAM>
kerékgyártó,kerékgyártóék,2,ADJ|PLUR<FAM>
édesanyám,édesanyámék,12,NOUN|POSS<1>|PLUR<FAM>
kötőd,kötődék,2,NOUN|POSS<2>|PLUR<FAM>
ei,eiiék,2,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
vörösöd,vörösödék,2,ADJ|POSS<2>|PLUR<FAM>
babi,babiék,9,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
eim,eimék,1,NOUN[MET_ATTRIB]|ADJ|POSS<1>|PLUR<FAM>
maszek,maszekék,2,NOUN|PLUR<FAM>
eredmény,eredményék,1,NOUN|PLUR<FAM>
tótfalusi,tótfalusiék,2,ADJ|PLUR<FAM>
izi,iziék,1,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
édesanyád,édesanyádék,3,NOUN|POSS<2>|PLUR<FAM>
apuka,apukáék,6,NOUN|PLUR<FAM>
igás,igásék,3,NOUN|PLUR<FAM>
jelzés,jelzésék,2,NOUN|PLUR<FAM>
iker,ikerék,1,NOUN|PLUR<FAM>
eszti,esztiék,3,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
teti,tetiiék,1,NOUN[MET_ATTRIB]|ADJ|PLUR<FAM>
megértés,megértésék,6,NOUN|PLUR<FAM>
