litánia,litániánk,2,NOUN|POSS<1><PLUR>
előkészítés,előkészítésünk,4,NOUN|POSS<1><PLUR>
tizedesek,tizedeseink,3,NOUN[ATTRIB]|ADJ|PLUR|POSS<1><PLUR>
víztároló,víztárolónk,2,ADJ|POSS<1><PLUR>
vértanu,vértanunk,2,NOUN|POSS<1><PLUR>
erkélyek,erkélyeink,1,NOUN|PLUR|POSS<1><PLUR>
megvetés,megvetésünk,15,NOUN|POSS<1><PLUR>
vonalak,vonalaink,6,NOUN|PLUR|POSS<1><PLUR>
srácok,srácaink,6,NOUN|PLUR|POSS<1><PLUR>
szuka,szukánk,1,NOUN|POSS<1><PLUR>
követű,követűnk,1,NOUN[INAL_ATTRIB]|ADJ|POSS<1><PLUR>
udvar,udvarunk,10,NOUN|POSS<1><PLUR>
tok,tokunk,2,NOUN|POSS<1><PLUR>
luigi,luigink,2,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
népű,népűnk,5,NOUN[INAL_ATTRIB]|ADJ|POSS<1><PLUR>
romantika,romantikánk,13,NOUN|POSS<1><PLUR>
brigádvezető,brigádvezetőnk,11,NOUN|POSS<1><PLUR>
kimaradás,kimaradásunk,3,NOUN|POSS<1><PLUR>
lélektan,lélektanunk,3,NOUN|POSS<1><PLUR>
kizáratás,kizáratásunk,3,VERB[CAUS]|VERB[GERUND]|NOUN|POSS<1><PLUR>
kvalitások,kvalitásaink,2,NOUN|PLUR|POSS<1><PLUR>
vigéc,vigécünk,1,NOUN|POSS<1><PLUR>
paszuly,paszulyunk,2,NOUN|POSS<1><PLUR>
alvások,alvásaink,2,NOUN|PLUR|POSS<1><PLUR>
fölmérések,fölméréseink,1,VERB[GERUND]|NOUN|PLUR|POSS<1><PLUR>
mumus,mumusunk,6,NOUN|POSS<1><PLUR>
lemaradások,lemaradásaink,12,NOUN|PLUR|POSS<1><PLUR>
seili,seilink,1,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
hév,hevünk,10,NOUN|POSS<1><PLUR>
képzőművészek,képzőművészeink,6,NOUN|PLUR|POSS<1><PLUR>
törzsorvos,törzsorvosunk,4,NOUN|POSS<1><PLUR>
vetésterv,vetéstervünk,1,NOUN|POSS<1><PLUR>
kiközösítés,kiközösítésünk,4,NOUN|POSS<1><PLUR>
életszínvonal,életszínvonalunk,11,NOUN|POSS<1><PLUR>
lézer,lézerünk,3,NOUN|POSS<1><PLUR>
szekértábor,szekértáborunk,2,NOUN|POSS<1><PLUR>
bámulás,bámulásunk,10,NOUN|POSS<1><PLUR>
hozzátartozó,hozzátartozónk,18,NOUN|POSS<1><PLUR>
antiszemitizmus,antiszemitizmusunk,2,NOUN|POSS<1><PLUR>
próbák,próbáink,5,NOUN|PLUR|POSS<1><PLUR>
hizlalda,hizlaldánk,1,NOUN|POSS<1><PLUR>
vasutasok,vasutasaink,4,NOUN|PLUR|POSS<1><PLUR>
beti,betink,5,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
építkezések,építkezéseink,8,NOUN|PLUR|POSS<1><PLUR>
halász,halászunk,39,NOUN|POSS<1><PLUR>
újítás,újításunk,9,NOUN|POSS<1><PLUR>
birkózók,birkózóink,6,NOUN|PLUR|POSS<1><PLUR>
vatta,vattánk,1,NOUN|POSS<1><PLUR>
hattyúk,hattyúink,2,NOUN|PLUR|POSS<1><PLUR>
dogmatika,dogmatikánk,2,NOUN|POSS<1><PLUR>
buzgalom,buzgalmunk,10,NOUN|POSS<1><PLUR>
könyvtárosok,könyvtárosaink,18,NOUN|PLUR|POSS<1><PLUR>
tüzik,tüziink,2,NOUN[MET_ATTRIB]|ADJ|PLUR|POSS<1><PLUR>
nehézfegyverek,nehézfegyvereink,4,NOUN|PLUR|POSS<1><PLUR>
külváros,külvárosunk,1,NOUN|POSS<1><PLUR>
segédek,segédeink,7,NOUN|PLUR|POSS<1><PLUR>
mérőón,mérőónunk,2,NOUN|POSS<1><PLUR>
áthaladás,áthaladásunk,4,VERB[GERUND]|NOUN|POSS<1><PLUR>
csiga,csigánk,3,NOUN|POSS<1><PLUR>
bűn,bűnünk,13,NOUN|POSS<1><PLUR>
szülőház,szülőházunk,4,NOUN|POSS<1><PLUR>
gin,ginünk,1,NOUN|POSS<1><PLUR>
ínyencek,ínyenceink,2,NOUN|PLUR|POSS<1><PLUR>
életfa,életfánk,7,NOUN|POSS<1><PLUR>
keresnivaló,keresnivalónk,12,NOUN|POSS<1><PLUR>
szamárság,szamárságunk,2,NOUN|POSS<1><PLUR>
kiegészítések,kiegészítéseink,4,NOUN|PLUR|POSS<1><PLUR>
rabok,rabjaink,18,ADJ|PLUR|POSS<1><PLUR>
csukló,csuklónk,8,NOUN|POSS<1><PLUR>
lényi,lényink,9,NOUN[QUANTITY]|NUM|POSS<1><PLUR>
sajtótörvény,sajtótörvényünk,2,NOUN|POSS<1><PLUR>
parasztlakodalmak,parasztlakodalmaink,1,NOUN|PLUR|POSS<1><PLUR>
öregszüle,öregszülénk,1,NOUN|POSS<1><PLUR>
zászlók,zászlaink,6,NOUN|PLUR|POSS<1><PLUR>
szakkörök,szakköreink,1,NOUN|PLUR|POSS<1><PLUR>
kiszólítás,kiszólításunk,2,VERB[GERUND]|NOUN|POSS<1><PLUR>
leánygyermekek,leánygyermekeink,3,NOUN|PLUR|POSS<1><PLUR>
munkásigazgatók,munkásigazgatóink,4,NOUN|PLUR|POSS<1><PLUR>
esthajnalcsillag,esthajnalcsillagunk,2,NOUN|POSS<1><PLUR>
képzés,képzésünk,26,NOUN|POSS<1><PLUR>
hajszolás,hajszolásunk,3,NOUN|POSS<1><PLUR>
kérdési,kérdésink,2,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
bukméker,bukmékerünk,1,NOUN|POSS<1><PLUR>
termékek,termékeink,18,NOUN|PLUR|POSS<1><PLUR>
sorozat,sorozatunk,17,NOUN|POSS<1><PLUR>
létfenntartás,létfenntartásunk,5,NOUN|POSS<1><PLUR>
lehetősek,lehetőseink,2,NOUN[ATTRIB]|ADJ|PLUR|POSS<1><PLUR>
műalkotások,műalkotásaink,2,NOUN|PLUR|POSS<1><PLUR>
gálya,gályánk,19,NOUN|POSS<1><PLUR>
filmfelvételek,filmfelvételeink,1,NOUN|PLUR|POSS<1><PLUR>
gázvilágítás,gázvilágításunk,1,NOUN|POSS<1><PLUR>
mászás,mászásunk,2,NOUN|POSS<1><PLUR>
tisztelgés,tisztelgésünk,8,NOUN|POSS<1><PLUR>
földmérő,földmérőnk,1,ADJ|POSS<1><PLUR>
vesztesség,vesztességünk,1,ADJ[ABSTRACT]|NOUN|POSS<1><PLUR>
elemek,elemeink,7,NOUN|PLUR|POSS<1><PLUR>
gyásznap,gyásznapunk,3,NOUN|POSS<1><PLUR>
bomlás,bomlásunk,3,NOUN|POSS<1><PLUR>
angyalkák,angyalkáink,8,NOUN|PLUR|POSS<1><PLUR>
országiak,országiink,4,NOUN[MET_ATTRIB]|ADJ|PLUR|POSS<1><PLUR>
attitűd,attitűdünk,4,NOUN|POSS<1><PLUR>
óvintézkedések,óvintézkedéseink,1,NOUN|PLUR|POSS<1><PLUR>
énekeskönyv,énekeskönyvünk,7,NOUN|POSS<1><PLUR>
előjegyzés,előjegyzésünk,3,NOUN|POSS<1><PLUR>
munkaterület,munkaterületünk,5,NOUN|POSS<1><PLUR>
nemzetnevelők,nemzetnevelőink,2,ADJ|PLUR|POSS<1><PLUR>
egyezés,egyezésünk,2,VERB[GERUND]|NOUN|POSS<1><PLUR>
felvidékek,felvidékeink,1,NOUN|PLUR|POSS<1><PLUR>
kiselőadások,kiselőadásaink,1,NOUN|PLUR|POSS<1><PLUR>
hanyagságú,hanyagságúnk,2,NOUN[INAL_ATTRIB]|ADJ|POSS<1><PLUR>
plébánosok,plébánosaink,4,NOUN|PLUR|POSS<1><PLUR>
gyomorszáj,gyomorszájunk,1,NOUN|POSS<1><PLUR>
kíméletesség,kíméletességünk,2,ADJ[ABSTRACT]|NOUN|POSS<1><PLUR>
lőszerek,lőszereink,2,NOUN|PLUR|POSS<1><PLUR>
elfogadtatás,elfogadtatásunk,3,VERB[CAUS]|VERB[GERUND]|NOUN|POSS<1><PLUR>
leolvasás,leolvasásunk,3,NOUN|POSS<1><PLUR>
költőnők,költőnőink,8,NOUN|PLUR|POSS<1><PLUR>
népelem,népelemünk,1,NOUN|POSS<1><PLUR>
megfosztatás,megfosztatásunk,3,VERB[CAUS]|VERB[GERUND]|NOUN|POSS<1><PLUR>
létrehozó,létrehozónk,2,VERB[IMPERF_PART]|ADJ|POSS<1><PLUR>
szocializmus,szocializmusunk,11,NOUN|POSS<1><PLUR>
kicsikék,kicsikéink,4,ADJ|PLUR|POSS<1><PLUR>
felháborodás,felháborodásunk,15,NOUN|POSS<1><PLUR>
óvatosság,óvatosságunk,18,NOUN|POSS<1><PLUR>
állapotjelző,állapotjelzőnk,1,NOUN|POSS<1><PLUR>
kartográfia,kartográfiánk,1,NOUN|POSS<1><PLUR>
módszerek,módszereink,9,NOUN|PLUR|POSS<1><PLUR>
hétköznapok,hétköznapjaink,12,NOUN|PLUR|POSS<1><PLUR>
direktórium,direktóriumunk,1,NOUN|POSS<1><PLUR>
szokásjog,szokásjogunk,4,NOUN|POSS<1><PLUR>
haj,hajunk,12,NOUN|POSS<1><PLUR>
nap,napunk,11,NOUN|POSS<1><PLUR>
csarnok,csarnokunk,9,NOUN|POSS<1><PLUR>
ifjak,ifjaink,28,NOUN|PLUR|POSS<1><PLUR>
eltérés,eltérésünk,9,NOUN|POSS<1><PLUR>
totemek,totemeink,1,NOUN|PLUR|POSS<1><PLUR>
légátusok,légátusaink,1,NOUN|PLUR|POSS<1><PLUR>
elalvás,elalvásunk,2,NOUN|POSS<1><PLUR>
gitárosok,gitárosaink,1,NOUN[ATTRIB]|ADJ|PLUR|POSS<1><PLUR>
életkép,életképünk,2,NOUN|POSS<1><PLUR>
nénék,nénéink,2,NOUN|PLUR|POSS<1><PLUR>
melléképület,melléképületünk,1,NOUN|POSS<1><PLUR>
teória,teóriánk,8,NOUN|POSS<1><PLUR>
szükség,szükségünk,18,NOUN|POSS<1><PLUR>
szerzetesrendek,szerzetesrendjeink,1,NOUN|PLUR|POSS<1><PLUR>
horoszkóp,horoszkópunk,2,NOUN|POSS<1><PLUR>
amulettek,amulettjeink,2,NOUN|PLUR|POSS<1><PLUR>
felderítők,felderítőink,25,ADJ|PLUR|POSS<1><PLUR>
pajesz,pajeszünk,1,NOUN|POSS<1><PLUR>
puszták,pusztáink,14,ADJ|PLUR|POSS<1><PLUR>
gondok,gondjaink,13,NOUN|PLUR|POSS<1><PLUR>
kocsis,kocsisunk,55,ADJ|POSS<1><PLUR>
avatarok,avatarjaink,1,ADJ|PLUR|POSS<1><PLUR>
vágás,vágásunk,2,NOUN|POSS<1><PLUR>
fodrászszalon,fodrászszalonunk,1,NOUN|POSS<1><PLUR>
mátkapár,mátkapárunk,1,NOUN|POSS<1><PLUR>
jutás,jutásunk,8,VERB[GERUND]|NOUN|POSS<1><PLUR>
nemesis,nemesisünk,3,NOUN[MET_ATTRIB]|ADJ[ATTRIB]|ADJ|POSS<1><PLUR>
expressz,expresszünk,2,NOUN|POSS<1><PLUR>
búcsúk,búcsúink,2,NOUN|PLUR|POSS<1><PLUR>
iram,iramunk,2,NOUN|POSS<1><PLUR>
megélés,megélésünk,6,NOUN|POSS<1><PLUR>
hajdúváros,hajdúvárosunk,1,NOUN|POSS<1><PLUR>
lord,lordunk,2,NOUN|POSS<1><PLUR>
polémia,polémiánk,1,NOUN|POSS<1><PLUR>
elleniség,elleniségünk,2,POSTP[ATTRIB]|ADJ[ABSTRACT]|NOUN|POSS<1><PLUR>
osztálytársnő,osztálytársnőnk,5,NOUN|POSS<1><PLUR>
főnöknő,főnöknőnk,10,NOUN|POSS<1><PLUR>
vágyálmok,vágyálmaink,4,NOUN|PLUR|POSS<1><PLUR>
bab,babunk,7,NOUN|POSS<1><PLUR>
látókörök,látóköreink,1,NOUN|PLUR|POSS<1><PLUR>
régiségbúvár,régiségbúvárunk,2,NOUN|POSS<1><PLUR>
háziúr,háziurunk,10,NOUN|POSS<1><PLUR>
szakkör,szakkörünk,3,NOUN|POSS<1><PLUR>
továbbtanulás,továbbtanulásunk,3,NOUN|POSS<1><PLUR>
korrekció,korrekciónk,1,NOUN|POSS<1><PLUR>
nyár,nyárunk,2,NOUN|POSS<1><PLUR>
trenírozás,trenírozásunk,1,VERB[GERUND]|NOUN|POSS<1><PLUR>
letelepedés,letelepedésünk,18,NOUN|POSS<1><PLUR>
beteljesületlenség,beteljesületlenségünk,4,ADJ[ABSTRACT]|NOUN|POSS<1><PLUR>
eljárásmód,eljárásmódunk,2,NOUN|POSS<1><PLUR>
elsőségek,elsőségeink,1,NOUN|PLUR|POSS<1><PLUR>
jámborság,jámborságunk,6,NOUN|POSS<1><PLUR>
keltű,keltűnk,2,NOUN[INAL_ATTRIB]|ADJ|POSS<1><PLUR>
karsztvizek,karsztvizeink,2,NOUN|PLUR|POSS<1><PLUR>
másállapot,másállapotunk,1,NOUN|POSS<1><PLUR>
kötők,kötőink,3,NOUN|PLUR|POSS<1><PLUR>
nőstény,nőstényünk,1,NOUN|POSS<1><PLUR>
eszti,esztink,1,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
hadművészet,hadművészetünk,3,NOUN|POSS<1><PLUR>
cselekmények,cselekményeink,4,NOUN|PLUR|POSS<1><PLUR>
arisztokratizmus,arisztokratizmusunk,1,NOUN|POSS<1><PLUR>
megosztás,megosztásunk,9,NOUN|POSS<1><PLUR>
farkas,farkasunk,12,NOUN|POSS<1><PLUR>
szakértő,szakértőnk,20,NOUN|POSS<1><PLUR>
békaperspektíva,békaperspektívánk,1,NOUN|POSS<1><PLUR>
páncélos,páncélosunk,9,NOUN|POSS<1><PLUR>
bojár,bojárunk,1,NOUN|POSS<1><PLUR>
hiányosságok,hiányosságaink,22,NOUN|PLUR|POSS<1><PLUR>
trolibusz,trolibuszunk,1,NOUN|POSS<1><PLUR>
esendőség,esendőségünk,6,ADJ[ABSTRACT]|NOUN|POSS<1><PLUR>
külkereskedelem,külkereskedelmünk,11,NOUN|POSS<1><PLUR>
volán,volánunk,1,NOUN|POSS<1><PLUR>
tisztesség,tisztességünk,33,NOUN|POSS<1><PLUR>
megállapodás,megállapodásunk,24,NOUN|POSS<1><PLUR>
sajtó,sajtónk,14,NOUN|POSS<1><PLUR>
üresedés,üresedésünk,2,NOUN|POSS<1><PLUR>
hozomány,hozományunk,8,NOUN|POSS<1><PLUR>
címer,címerünk,9,NOUN|POSS<1><PLUR>
összeesküvők,összeesküvőink,3,ADJ|PLUR|POSS<1><PLUR>
nyelvészi,nyelvészink,2,NOUN[MET_ATTRIB]|ADJ|POSS<1><PLUR>
hátaslovak,hátaslovaink,1,NOUN|PLUR|POSS<1><PLUR>
szoríttatás,szoríttatásunk,1,VERB[CAUS]|VERB[GERUND]|NOUN|POSS<1><PLUR>
eltorzulások,eltorzulásaink,4,NOUN|PLUR|POSS<1><PLUR>
szállítók,szállítóink,4,ADJ|PLUR|POSS<1><PLUR>
jegyzőfüzet,jegyzőfüzetünk,1,NOUN|POSS<1><PLUR>
édesanyák,édesanyáink,5,NOUN|PLUR|POSS<1><PLUR>
fémmunkások,fémmunkásaink,2,NOUN|PLUR|POSS<1><PLUR>
paprika,paprikánk,6,NOUN|POSS<1><PLUR>
buzdítások,buzdításaink,4,NOUN|PLUR|POSS<1><PLUR>
madárijesztő,madárijesztőnk,6,ADJ|POSS<1><PLUR>
tó,tavunk,11,NOUN|POSS<1><PLUR>
emeletek,emeleteink,1,NOUN|PLUR|POSS<1><PLUR>
honatya,honatyánk,2,NOUN|POSS<1><PLUR>
összeszólalkozás,összeszólalkozásunk,2,VERB[GERUND]|NOUN|POSS<1><PLUR>
